"bloco";"y";"x";"id";"vulgar";"cient";"familia";"nome";"classif";"c7";"c10";"c13";"c16";"coordx";"coordy";"fuste7";"fuste10";"fuste13";"st7";"st10";"st13";"fito7";"fito10";"fito13";"copa7";"copa10";"copa13";"obs";"d7";"d10";"d13";"d16";"g7";"g10";"g13";"g16";"ipa0710";"ipa0713";"ipa0716";"ipa1013";"ipa1016";"ipa1316";"ipa0710.100";"ipa0713.100";"ipa0716.100";"ipa1013.100";"ipa1016.100";"ipa1316.100";"numcient";"numclassif";"sub100";"sub50";"sub25";"sub20";"sub15";"sub10";"G7.100";"G7.50";"G7.25";"G7.20";"G7.15";"G7.10";"Gnorm7.100";"Gnorm7.50";"Gnorm7.25";"Gnorm7.20";"Gnorm7.15";"Gnorm7.10";"bal7.100";"bal7.50";"bal7.25";"bal7.20";"bal7.15";"bal7.10";"d7.100";"d7.50";"d7.25";"d7.20";"d7.15";"d7.10";"dalt7.100";"dalt7.50";"dalt7.25";"dalt7.20";"dalt7.15";"dalt7.10";"Igh7.100";"Igh7.50";"Igh7.25";"Igh7.20";"Igh7.15";"Igh7.10";"dist7.3";"viz7.3";"dist7.5";"viz7.5";"dist7.7";"viz7.7";"dist7.10";"viz7.10";"dist7.12";"viz7.12";"dist7.15";"viz7.15";"dist7.17";"viz7.17";"dist7.20";"viz7.20";"Hg7.3";"Hg7.5";"Hg7.7";"Hg7.10";"Hg7.12";"Hg7.15";"Hg7.17";"Hg7.20";"TB7.3";"TB7.5";"TB7.7";"TB7.10";"TB7.12";"TB7.15";"TB7.17";"TB7.20";"poligonos.7";"areas.7";"diametros.7";"num.viz.7";"APA7.m";"APA7.v";"Hgalt7.3";"Hgalt7.5";"Hgalt7.7";"Hgalt7.10";"Hgalt7.12";"Hgalt7.15";"Hgalt7.17";"Hgalt7.20";"TBalt7.3";"TBalt7.5";"TBalt7.7";"TBalt7.10";"TBalt7.12";"TBalt7.15";"TBalt7.17";"TBalt7.20";"Ek7.3";"Ek7.5";"Ek7.7";"Ek7.10";"Ek7.12";"Ek7.15";"Ek7.17";"Ek7.20"
H6;27,6;35,5;H6/141C;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;168,5;168,5;169,1;NA;677135,5;7184377,6;2;NA;NA;2;NA;NA;3;4;4;2;NA;NA;;53,64;53,64;53,83;NA;0,226;0,226;0,2276;NA;0;0,03;NA;0,06;NA;NA;0;0,0559284116331096;NA;0,111856823266219;NA;NA;44;6;"X4.Y3";"X8.Y6";"X16.Y11";"X20.Y13";"X26.Y17";"X39.Y26";2,6238;1,0399;0,2744;0,0083;0,2246;0;2,8498;1,2659;0,5004;0,2343;0,4506;0,226;0,9619;0,3696;0;0;0;0;20,1293650793651;25,6264705882353;29,866;31,96;53,56;53,64;19,5888709677419;23,875625;23,9225;10,28;53,48;NA;2,66476363206245;2,09314816940204;1,79602223263912;1,67834793491865;1,00149365197909;1;0;0;0;0;0;0;16,0280914719029;2;48,803592655325;5;48,803592655325;5;64,1873503234302;6;64,1873503234302;6;0;0;0;0,148428517416176;0,230371678090109;0,230371678090109;0,248197988862644;0,248197988862644;0;0;0;-5,42480621192832;-15,8016431661009;-15,8016431661009;-18,3322342505349;-18,3322342505349;265;119,432719179226;19,4537258470754;5;0,63932634095989;3,5076173054001;0;0;0;0,124539607773911;0,206482768447844;0,206482768447844;0,224309079220379;0,224309079220379;0;0;0;-0,0199859523141144;-10,3968229064867;-10,3968229064867;-12,9274139909207;-12,9274139909207;0;0;0;1,07438433461278;2,11812048529734;2,11812048529734;2,46157717563128;2,46157717563128
I4;4;29;I4/81A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;55,59999999;57,40000001;NA;NA;677179;7184254;2;2;NA;3;3;NA;3;3;4;3;3;NA;;17,7;18,27;NA;NA;0,0246;0,0262;NA;NA;0,19;NA;NA;NA;NA;NA;1,07344632768362;NA;NA;NA;NA;NA;76;7;"X5.Y2";"X9.Y3";"X18.Y6";"X22.Y7";"X29.Y9";"X43.Y13";1,0056;0,3285;0,1104;0,0627;0,0464;0,0288;1,0302;0,3531;0,135;0,0873;0,071;0,0534;0,3777;0,0989;0,0298;0;0;0;14,768;14,2419047619048;14,365;14,834;14,945;14,94;14,7137037037037;14,069;13,8885714285714;14,1175;14,0266666666667;13,56;1,19853737811484;1,24281128794971;1,23216150365472;1,19320479978428;1,18434258949481;1,18473895582329;0;0;12,4169257390373;3;12,4169257390373;3;12,4169257390373;3;44,1112624674275;6;70,3229325690173;8;85,4322012476419;9;140,204694422918;12;0;0,575101930836123;0,575101930836123;0,575101930836123;0,79839837391924;0,920988559204861;0,961222776852986;1,09776791837185;0;-2,70422808669174;-2,70422808669174;-2,70422808669174;-3,78383020884355;-4,3277434204643;-4,78706412933607;-5,28185389095749;266;59,7525907138111;12,6307473623368;5;0,499956897941366;2,76748348022116;0;0,776857956569489;0,776857956569489;0,776857956569489;1,12084746679051;1,17685466570179;1,17685466570179;1,23666797938272;0;-4,19812664760317;-4,19812664760317;-4,19812664760317;-4,97812121772002;-5,2509505222724;-5,2509505222724;-5,15421139183958;0;3,47655324044185;3,47655324044185;3,47655324044185;8,30469375259264;9,5263995854896;9,5263995854896;11,3316753970564
B4;5;45,4;B4/5A;Aroeira;Schinus terebinthifolius Raddi;Anacardiaceae;Schter;P;56,60000001;56,60000001;59,3;59,4;676845,4;7184255;1;NA;NA;3;NA;2;1;NA;25;2;NA;2;;18,02;18,02;18,88;18,91;0,0255;0,0255;0,028;0,0281;0;0,14;0,1;0,29;0,15;0,01;0;0,776914539400666;0,554938956714761;1,60932297447281;0,832408435072142;0,0529661016949153;70;6;"X1.Y2";"X2.Y3";"X4.Y6";"X5.Y7";"X7.Y9";"X10.Y13";0,8965;0,1798;0,0422;0,0723;0,0214;0,0214;0,922;0,2053;0,0677;0,0978;0,0469;0,0469;0,5857;0,0401;0;0;0;0;17,7967857142857;14,39;14,365;14,165;17,27;17,27;17,7885185185185;14,06;13,1466666666667;13,394;16,52;16,52;1,01254239328932;1,25225851285615;1,25443786982249;1,27214966466643;1,04342790966995;1,04342790966995;1,58113883008419;1;1,58113883008419;1;1,58113883008419;1;28,7311560737358;4;28,7311560737358;4;40,9953315453865;5;90,1375146727655;8;108,474635493658;9;0,579809400066389;0,579809400066389;0,579809400066389;0,809610269893806;0,809610269893806;0,856442755414536;1,02161370976331;1,05965448374325;-0,948683298050514;-0,948683298050514;-0,948683298050514;-2,79021320542936;-2,79021320542936;-3,41561195463428;-3,74869184451158;-4,0459031708279;267;298,750828688399;34,2778764706268;4;0,419714486243868;2,60405362716544;0,579809400066389;0,579809400066389;0,579809400066389;0,659886503698872;0,659886503698872;0,706718989219603;0,927237600355542;0,965278374335484;-0,948683298050514;-0,948683298050514;-0,948683298050514;-1,61117317175766;-1,61117317175766;-2,23657192096258;-2,50745557114456;-2,80466689746088;0,959701051316952;0,959701051316952;0,959701051316952;1,86815190630393;1,86815190630393;2,75312156406281;8,8456505490871;10,1159834374421
C6;30,4;13,5;C6/41A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;48,5;52,2;53,80000001;56,29999999;676863,5;7184380,4;3;3;NA;2;1;2;3;3;3;2;4;3;;15,44;16,62;17,13;17,92;0,0187;0,0217;0,023;0,0252;0,39;0,28;0,28;0,17;0,22;0,26;2,5259067357513;1,81347150259067;1,81347150259067;1,02286401925391;1,323706377858;1,51780502043199;14;7;"X2.Y3";"X3.Y6";"X5.Y11";"X6.Y13";"X8.Y17";"X12.Y26";1,7074;0,2056;0,0231;0,0678;0,0678;0,0231;1,7261;0,2243;0,0418;0,0865;0,0865;0,0418;1,2222;0,091;0;0,0316;0,0316;0;16,8293650793651;13,9264285714286;13,2;14,514;14,514;13,2;16,8517741935484;13,81;12,08;14,2825;14,2825;12,08;0,917443999056826;1,10868338718777;1,16969696969697;1,06380046851316;1,06380046851316;1,16969696969697;0;0;8,27735773177827;2;14,7534676759799;3;23,1105006429858;4;23,1105006429858;4;23,1105006429858;4;23,1105006429858;4;59,6651513330743;6;0;0,377506378941021;0,506717830256181;0,662104931714383;0,662104931714383;0,662104931714383;0,662104931714383;0,799170761823093;0;-1,65943450990977;-2,04855699574037;-1,49692581058164;-1,49692581058164;-1,49692581058164;-1,49692581058164;-1,07020192960963;268;153,993310684524;18,739385045723;6;0,771041353005779;6,74340866018023;0;0,183929777055087;0,313141228370247;0,468528329828449;0,468528329828449;0,468528329828449;0,468528329828449;0,605594159937159;0;-1,12824023316173;-1,51736271899232;-0,965731533833595;-0,965731533833595;-0,965731533833595;-0,965731533833595;-0,539007652861591;0;0,828908982200411;1,88035735772673;3,52371800399286;3,52371800399286;3,52371800399286;3,52371800399286;7,76081251611244
I6;41,5;17;I6/32A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;131,8;132,4;136;137,2;677167;7184391,5;3;3;3;3;3;3;3;3;3;2;2;3;;41,95;42,14;43,29;43,67;0,1382;0,1395;0,1472;0,1498;0,06;0,22;0,19;0,38;0,26;0,13;0,143027413587604;0,524433849821216;0,452920143027414;0,901756051257712;0,616990982439487;0,3003003003003;5;8;"X5.Y3";"X9.Y6";"X17.Y11";"X21.Y14";"X28.Y18";"X42.Y27";0,4436;0,2545;0,0849;0,0595;0,0415;0,00850000000000001;0,5818;0,3927;0,2231;0,1977;0,1797;0,1467;0;0;0;0;0;0;17,339;20,163;21,214;21,995;24,2766666666667;26,165;16,0436842105263;17,7422222222222;16,03;15,3433333333333;15,44;10,38;2,4194013495588;2,08054356990527;1,97746771000283;1,90725164810184;1,72799670465468;1,60328683355628;0;0;3,26496554322329;1;3,26496554322329;1;12,0450566589703;2;34,3096948957085;4;89,7422664722213;8;89,7422664722213;8;89,7422664722213;8;0;0,0757856161821163;0,0757856161821163;0,138447697590388;0,208930270324372;0,311687483642843;0,311687483642843;0,311687483642843;0;-9,66932103327282;-9,66932103327282;-11,8185014633206;-16,4066807724128;-24,2215729623591;-24,2215729623591;-24,2215729623591;269;92,9412473839139;16,9900951713549;6;0,485606556504741;4,08876205384725;0;0;0;0;0,0424872270592063;0,116304593525389;0,116304593525389;0,116304593525389;0;0;0;0;-1,86493538081063;-7,73256210150064;-7,73256210150064;-7,73256210150064;0;0;0;0;0,587500382056977;1,92084675420964;1,92084675420964;1,92084675420964
H2;43,3;24,5;H2/103A;Capororoca;Myrsine gardneriana A.DC.;Primulaceae;Myrgar;P;43,5;43,99999999;46,3;NA;677124,5;7184193,3;43;43;42;1;1;2;3;2;35;3;2;2;;13,85;14,01;14,74;NA;0,0151;0,0154;0,0171;NA;0,05;0,15;NA;0,24;NA;NA;0,36101083032491;1,08303249097473;NA;1,71306209850107;NA;NA;54;6;"X4.Y1";"X8.Y2";"X15.Y3";"X19.Y4";"X25.Y5";"X38.Y7";2,8594;0,8422;0,0655;0,1913;0,0426;0,1487;2,8745;0,8573;0,0806;0,2064;0,0577;0,1638;2,5349;0,7631;0,0504;0,1762;0,0275;0,1487;19,365223880597;19,9905555555556;15,8775;22,4825;15,4733333333333;28,68;19,4487878787879;20,3517647058823;16,5533333333333;25,36;16,285;43,51;0,715199580722483;0,692827168385071;0,872303574240277;0,616034693650617;0,895088323998277;0,482914923291492;0;0;3,8483762812111;1;9,75176513856787;2;9,75176513856787;2;31,2977913691449;4;31,2977913691449;4;31,2977913691449;4;49,6119935085782;5;0;0,816322525638974;1,04527992305861;1,04527992305861;1,21160752400312;1,21160752400312;1,21160752400312;1,27898337847148;0;7,70714655549896;8,53209644744637;8,53209644744637;8,26366976196992;8,26366976196992;8,26366976196992;8,44058164572727;270;98,3301104015992;20,9349474671479;5;0,478354622663729;2,70264989309594;0;0,816322525638974;1,04527992305861;1,04527992305861;1,21160752400312;1,21160752400312;1,21160752400312;1,27898337847148;0;7,70714655549896;8,53209644744637;8,53209644744637;8,26366976196992;8,26366976196992;8,26366976196992;8,44058164572727;0;3,35951695686003;4,97973313368103;4,97973313368103;7,68208239492858;7,68208239492858;7,68208239492858;9,91237913212545
E4;45,4;46;E4/178A;Farinha-seca;Machaerium stipitatum Vogel;Fabaceae;Macsti;Si;57,50000001;62,09999999;68,1;74,6;676996;7184295,4;1;2;NA;2;2;2;1;5;35;1;3;3;;18,3;19,77;21,68;23,75;0,0263;0,0307;0,0369;0,0443;0,49;0,56;0,61;0,64;0,66;0,69;2,6775956284153;3,06010928961749;3,33333333333333;3,23722812341932;3,33839150227618;3,18265682656827;46;7;"X3.Y2";"X5.Y4";"X10.Y7";"X13.Y9";"X17.Y12";"X25.Y17";2,0924;0,7297;0,3309;0,2089;0,2089;0;2,1187;0,756;0,3572;0,2352;0,2352;0,0263;1,5314;0,5395;0,2368;0,2089;0,2089;0;18,7550793650794;20,2863157894737;20,72625;34,935;34,935;18,3;18,7624193548387;20,3966666666667;21,0728571428571;51,57;51,57;NA;0,975735673722251;0,902085927770859;0,882938302876787;0,523829969944182;0,523829969944182;1;0;0;3,85875627615565;1;3,85875627615565;1;13,5262275073938;2;13,5262275073938;2;13,5262275073938;2;44,3319308912445;4;120,229379684532;8;0;0,730295614755113;0,730295614755113;0,819378081637412;0,819378081637412;0,819378081637412;0,920995909853864;1,16810785847929;0;8,6219490475687;8,6219490475687;8,35921229467384;8,35921229467384;8,35921229467384;7,8418120180114;8,50492736036489;271;115,590824275178;19,6029059036907;6;0,59756156966623;4,03184808116005;0;0,730295614755113;0,730295614755113;0,819378081637412;0,819378081637412;0,819378081637412;0,920995909853864;1,08394229269475;0;8,6219490475687;8,6219490475687;8,35921229467384;8,35921229467384;8,35921229467384;7,8418120180114;8,91760773389403;0;2,97804398317693;2,97804398317693;4,1219062914277;4,1219062914277;4,1219062914277;6,62940623587279;11,2544687270795
F3;37,3;0,5;F3/24A;Eugenia multiovulata;Eugenia chlorophylla O.Berg;Myrtaceae;Eugchl;C;85,5;87,70000001;87,90000001;88,4;677000,5;7184237,3;43;43;4;2;2;2;3;25;3;1;3;4;;27,22;27,92;27,98;28,14;0,0582;0,0612;0,0615;0,0622;0,23;0,13;0,1;0,02;0,04;0,05;0,844966936076414;0,477590007347539;0,367376928728876;0,0716332378223496;0,143266475644699;0,178699070764832;31;2;"X3.Y2";"X6.Y3";"X11.Y5";"X13.Y6";"X17.Y8";"X26.Y12";2,0605;0,3377;0,1825;0,0912;0,0281;0,0189;2,1187;0,3959;0,2407;0,1494;0,0863;0,0771;0,9248;0;0;0;0;0;18,7550793650794;19,2015384615385;20,3585714285714;18,562;17,8566666666667;21,36;18,6185483870968;18,5333333333333;19,215;16,3975;13,175;15,5;1,45134016605026;1,4175947440109;1,33702898042243;1,46643680637862;1,52436064961732;1,27434456928839;0;0;0;0;0;0;15,3439045213534;2;47,4381665675777;5;132,787051061197;11;147,810366274224;12;167,351604719796;13;0;0;0;0,126082962014183;0,309329802067626;0,619643119456137;0,650626065769867;0,682586208960311;0;0;0;-3,66413765900907;-6,31091536767131;-9,35471963693612;-10,3232142597064;-10,8462107948782;272;105,722175882733;16,289633656847;6;0,982310038352968;8,02563011125397;0;0;0;0,0521865281176543;0,235433368171097;0,656845153588616;0,656845153588616;0,68880529677906;0;0;0;-2,14321365208156;-4,7899913607438;-8,69252599814505;-8,69252599814505;-9,21552253331685;0;0;0;0,487163805723389;2,9671068327895;10,9675722363322;10,9675722363322;11,9391546862156
E6;34,5;43;E6/230A;Casearia obliquoa;Casearia obliqua Spreng.;Salicaceae;Casobl;St;NA;33,2;36,3;39,40000001;676993;7184384,5;NA;2;NA;NA;2;1;NA;3;3;NA;3;3;;NA;10,57;11,55;12,54;NA;0,0088;0,0105;0,0124;NA;NA;NA;0,33;0,33;0,33;NA;NA;NA;3,12204351939451;3,12204351939451;2,85714285714286;13;8;"X3.Y3";"X5.Y6";"X10.Y11";"X13.Y13";"X17.Y18";"X25.Y26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;18,2529113924051;15,8909090909091;13,228;16,035;15,72;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
G2;15,5;44,8;G2/132A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;31,59999999;32,10000001;34,30000001;36,9;677094,8;7184165,5;2;2;1;2;2;1;3;3;3;3;3;2;;10,06;10,22;10,92;11,75;0,0079;0,0082;0,0094;0,0108;0,05;0,14;0,19;0,23;0,25;0,28;0,497017892644135;1,39165009940358;1,88866799204771;2,25048923679061;2,44618395303327;2,56410256410256;14;7;"X4.Y1";"X7.Y1";"X14.Y2";"X18.Y2";"X23.Y3";"X35.Y4";2,8666;0,3716;0,1337;0,1017;0,0167;0,0601;2,8745;0,3795;0,1416;0,1096;0,0246;0,068;2,8508;0,3558;0,1179;0,1017;0,0088;0,0601;19,365223880597;15,9805882352941;14,32;13,6414285714286;10,22;14,03;19,5062121212121;16,350625;14,9285714285714;14,2383333333333;10,3;15,3533333333333;0,519487926503118;0,629513748297567;0,702513966480447;0,737459419834538;0,984344422700587;0,717034925160371;0;0;3,00832179166976;1;3,00832179166976;1;29,3118733574257;4;40,222876977546;5;67,5468591171696;7;100,40668119764;9;156,503158931348;12;0;0,349263110069922;0,349263110069922;0,872042386611707;0,963419672089425;1,17624038446662;1,32080638734648;1,58122534337466;0;0,169529736284271;0,169529736284271;1,96159602402828;1,95884650610633;2,62712391555172;2,8563718627221;3,86031405060647;273;66,9905519910855;14,0658769814274;4;0,492514802110427;2,37647281487923;0;0;0;0,522779276541785;0,614156562019503;0,826977274396695;0,912050295231209;1,38158619980169;0;0;0;1,79206628774401;1,78931676982205;2,45759417926745;2,68863225425252;4,69345675929809;0;0;0;6,50784664315936;8,22405882136371;13,2808070785014;15,9721459097643;32,8672434837322
C3;48,2;14,5;C3/7A;Camboata;Cupania vernalis Cambess.;Sapindaceae;Cupver;St;46,50000001;47,90000001;52,1;55,30000001;676864,5;7184248,2;1;1;NA;3;3;3;3;3;35;3;3;3;;14,8;15,25;16,58;17,6;0,0172;0,0183;0,0216;0,0243;0,15;0,3;0,31;0,44;0,39;0,34;1,01351351351351;2,02702702702703;2,09459459459459;2,88524590163934;2,55737704918033;2,05066344993969;23;8;"X2.Y2";"X3.Y3";"X5.Y5";"X6.Y7";"X8.Y9";"X12.Y13";1,2866;0,1955;0,1535;0,0448;0,0448;0,0448;1,3038;0,2127;0,1707;0,062;0,062;0,062;0,9949;0,1453;0,1205;0,0448;0,0448;0,0448;17,2530612244898;17,6375;18,09;16,18;16,18;16,18;17,3041666666667;18,0428571428571;18,748;16,87;16,87;16,87;0,857818784007571;0,839121190644933;0,818131564400221;0,914709517923362;0,914709517923362;0,914709517923362;0;0;6,62117814242613;2;6,62117814242613;2;6,62117814242613;2;41,4869093193838;5;41,4869093193838;5;41,4869093193838;5;58,4942606710787;6;0;0,688617548324834;0,688617548324834;0,688617548324834;1,04081243761948;1,04081243761948;1,04081243761948;1,11137016146402;0;1,25053273328273;1,25053273328273;1,25053273328273;2,6405987428738;2,6405987428738;2,6405987428738;2,814641128357;274;180,997536420304;38,1463373052111;4;0,176091155471559;2,51535744912668;0;1,37723509664967;1,37723509664967;1,37723509664967;1,8951081620792;1,8951081620792;1,8951081620792;1,8951081620792;0;2,50106546656546;2,50106546656546;2,50106546656546;3,83694281302291;3,83694281302291;3,83694281302291;3,83694281302291;0;5,06188018009746;5,06188018009746;5,06188018009746;13,6002032865482;13,6002032865482;13,6002032865482;13,6002032865482
E9;22,4;28;E9/79A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;141;148,5;156,8;161;676978;7184522,4;3;3;NA;3;3;3;3;3;3;3;3;3;;44,88;47,27;49,91;51,25;0,1582;0,1755;0,1956;0,2063;0,8;0,84;0,71;0,88;0,66;0,45;1,7825311942959;1,8716577540107;1,58199643493761;1,86164586418447;1,39623439813835;0,901622921258265;5;8;"X3.Y4";"X5.Y8";"X10.Y16";"X12.Y20";"X16.Y27";"X23.Y40";2,3317;0,3131;0,0424;0,0398;0,0209;0,0109;2,4899;0,4713;0,2006;0,198;0,1791;0,1691;0,4346;0;0;0;0;0;16,8603488372093;16,2541176470588;21,2475;20,9275;22,6533333333333;28,33;16,5307058823529;14,465;13,37;12,9433333333333;11,54;11,78;2,66186663356299;2,76114649681529;2,11224849982351;2,14454664914586;1,98116539140671;1,58418637486763;2,94278779427954;1;2,94278779427954;1;2,94278779427954;1;2,94278779427954;1;24,2155533777365;3;24,2155533777365;3;56,2635047229588;5;94,4537487544133;7;0,0891935595459173;0,0891935595459173;0,0891935595459173;0,0891935595459173;0,138836571824366;0,138836571824366;0,174545582226001;0,204083908206328;-11,247837871403;-11,247837871403;-11,247837871403;-11,247837871403;-17,4657138088211;-17,4657138088211;-21,4659477539237;-24,8409615938309;275;123,679418814943;18,2112963976302;6;0,616102516127652;4,87471440081636;0;0;0;0;0;0;0,0357090104016344;0,0517139399349908;0;0;0;0;0;0;-4,00023394510252;-5,63674348464123;0;0;0;0;0;0;0,75260266499421;1,17495154389919
B5;17,8;2,5;B5/20A;Araucária;Araucaria angustifolia (Bertol.) Kuntze;Araucariaceae;Araang;St;205,5;209,5;217,1;224;676802,5;7184317,8;3;3;NA;3;3;3;3;3;3;3;3;3;;65,41;66,69;69,11;71,3;0,336;0,3493;0,3751;0,3993;0,43;0,62;0,65;0,81;0,77;0,73;0,657391836110687;0,947867298578199;0,993731845283596;1,21457489878543;1,154595891438;1,0562870785704;5;8;"X1.Y2";"X2.Y4";"X3.Y8";"X3.Y10";"X4.Y13";"X6.Y20";0,586;0;0;0,00940000000000002;0,00940000000000002;0;0,922;0,336;0,336;0,3454;0,3454;0,336;0;0;0;0;0;0;17,7967857142857;65,41;65,41;38,18;38,18;65,41;16,0333333333333;NA;NA;10,95;10,95;NA;3,67538279384319;1;1;1,71320062860136;1,71320062860136;1;0;0;0;0;0;0;7,97558775215273;1;7,97558775215273;1;21,4488946960573;2;82,945957456836;6;102,730041969636;7;0;0;0;0,0209897503076827;0,0209897503076827;0,0368074898756334;0,11146778623446;0,122317218182771;0;0;0;-6,82833688154211;-6,82833688154211;-10,648482909113;-22,7872148000755;-25,3837463690123;276;366,04064827925;43,6360847734575;6;0,859330823559423;10,0773907991383;0;0;0;0;0;0,0158177395679507;0,123168717075717;0,123168717075717;0;0;0;0;0;-3,82014602757088;-22,3855551408218;-22,3855551408218;0;0;0;0;0;0,252557377635479;2,22292092428136;2,22292092428136
E4;29,4;35;E4/119A;Açoita cavalo;Luehea divaricata Mart. & Zucc.;Malvaceae;Luediv;P;50,30000002;50,80000001;51,70000001;51,70000001;676985;7184279,4;2;2;NA;2;2;2;2;5;3;2;2;3;;16,01;16,17;16,46;16,46;0,0201;0,0205;0,0213;0,0213;0,05;0,07;0,05;0,1;0,05;0;0,312304809494066;0,437226733291693;0,312304809494066;0,618429189857761;0,309214594928881;0;44;6;"X3.Y2";"X5.Y4";"X10.Y7";"X12.Y8";"X16.Y11";"X24.Y16";2,0986;0,7359;0,3371;0,0582;0,0499;0,016;2,1187;0,756;0,3572;0,0783;0,07;0,0361;1,6766;0,5899;0,2872;0,0422;0;0;18,7550793650794;20,2863157894737;20,72625;17,8233333333333;14,8975;15,15;18,7993548387097;20,5238888888889;21,4;18,73;14,5266666666667;14,29;0,853635417283784;0,78920195101702;0,772450395030457;0,89826070693847;1,07467695922135;1,05676567656766;2,30000000074506;1;2,30000000074506;1;2,30000000074506;1;12,0128780501057;2;22,5133542292575;3;50,3492340726069;5;65,4293534359781;6;138,324719733031;10;0,388072671845611;0,388072671845611;0,388072671845611;0,470128872878766;0,563875550908448;0,711424894821198;0,807393663524098;1,06053306583933;-0,747826086714273;-0,747826086714273;-0,747826086714273;-1,08243339707929;-1,10624184116646;-1,05146545592366;-0,576668153099171;-0,0453896699961874;277;85,0225217092713;18,5386850382868;4;0,658977080960811;2,77472476855062;0,388072671845611;0,388072671845611;0,388072671845611;0,470128872878766;0,563875550908448;0,647203064895765;0,743171833598666;0,928153388955836;-0,747826086714273;-0,747826086714273;-0,747826086714273;-1,08243339707929;-1,10624184116646;-0,863001678183579;-0,38820437535909;-0,0208386405220393;0,962957554688939;0,962957554688939;0,962957554688939;2,08002414338791;3,4499779450977;5,29719846462453;7,42382748837601;13,3077583682019
I6;21,2;8,5;I6/155A;Cafezeiro;Casearia sylvestris Sw.;Salicaceae;Cassyl;Si;NA;34,1;38,09999999;42,20000001;677158,5;7184371,2;NA;2;2;NA;2;2;NA;3;3;NA;3;3;;NA;10,85;12,13;13,43;NA;0,0092;0,0116;0,0142;NA;NA;NA;0,43;0,43;0,43;NA;NA;NA;3,963133640553;3,963133640553;3,54492992580379;14;7;"X5.Y3";"X9.Y5";"X17.Y10";"X21.Y13";"X28.Y17";"X41.Y25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;17,339;14,515;NA;16,62;16,11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
G9;10,4;17,5;G9/75A;Sete-sangria;Symplocos tetrandra Mart.;Symplocaceae;Symtet;Si;NA;37,20000001;43,60000001;48,99999999;677067,5;7184510,4;NA;2;2;NA;3;3;NA;3;3;NA;3;3;;NA;11,84;13,88;15,6;NA;0,011;0,0151;0,0191;NA;NA;NA;0,68;0,63;0,57;NA;NA;NA;5,74324324324324;5,32094594594595;4,10662824207493;76;7;"X4.Y4";"X7.Y8";"X13.Y16";"X16.Y20";"X22.Y26";"X32.Y39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;15,9703773584906;14,9566666666667;12,205;12,205;NA;13,97;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
